"","Data","sp500","uk100","dax","nikkei","wig20","logReturnSP500","logReturnUK100","logReturnDax","logReturnNikkei","logReturnWig20"
"2313","2018-11-30",2760.17,8897.23914650623,12745.103367072,196.903085990151,604.320038405031,0.00813759385583701,-0.0110560277871965,-0.0095051129898085,0.0034985908547478,-0.0123962922137757
"2314","2018-12-03",2790.37,8987.42698616714,13017.6892683591,198.670761865369,618.309567544037,0.0108819314928281,0.0100855787269989,0.0211619972842492,0.00893733319841061,0.0228853278810552
"2315","2018-12-04",2700.06,8930.37805668943,12856.3554083635,195.422619522707,621.118851482001,-0.0329002085423449,-0.00636786951502444,-0.0124708720981577,-0.0164844985963342,0.00453320047485661
"2317","2018-12-06",2695.95,8567.91401477392,12300.1604223317,190.735562849286,609.742744764537,-0.00152334810157928,-0.0414344320966755,-0.0442259686238522,-0.0242765119467965,-0.0184853125507818
"2318","2018-12-07",2633.08,8635.63511275322,12308.8481944207,192.476959957383,606.439334536533,-0.023596383238556,0.00787296240750734,0.00070606439984644,0.00908847697357551,-0.00543244043510782
"2319","2018-12-10",2637.72,8443.29715606472,12056.9699996595,187.347147788775,592.662102508525,0.00176064400038545,-0.0225243692563524,-0.0206754532364624,-0.027013156880086,-0.0229802715631315
"2320","2018-12-11",2636.78,8500.38712255551,12203.2917897692,186.497054569826,584.643363784468,-0.000356431893052012,0.00673881566695478,0.0120628182555009,-0.00454785538355651,-0.0136223995491678
"2321","2018-12-12",2651.07,8692.48651312049,12428.9873201797,190.708976305661,602.928315887107,0.00540485633562504,0.0223473270558525,0.0183256974044088,0.0223331360278456,0.0307962837619575
"2322","2018-12-13",2650.54,8704.26385531495,12408.0867738088,192.040545060826,610.978608635871,-0.000199939264398985,0.00135397056855524,-0.00168301235686563,0.00695794013015583,0.0132636376081496
"2323","2018-12-14",2599.95,8612.22666767319,12281.7307366256,188.503862706364,606.618683057994,-0.0192711787507278,-0.0106301047772668,-0.0102355669731544,-0.0185880234368172,-0.00716155372859628
"2324","2018-12-17",2545.94,8544.08759492393,12223.634341738,190.619892577952,604.571371040388,-0.0209922805944016,-0.00794336475621726,-0.00474153341899175,0.0111628554799825,-0.00338066509141743
"2325","2018-12-18",2546.16,8476.05135015494,12212.3568805358,187.719586785676,614.317934566296,8.64083580989217e-05,-0.00799483569197612,-0.000923020629716831,-0.0153320642722017,0.0159928735475745
"2326","2018-12-19",2506.96,8537.78691937865,12252.4297257312,186.688726405864,621.870487556273,-0.0155154781132101,0.00725713259905802,0.00327596407674768,-0.00550662444385797,0.012219248825259
"2327","2018-12-20",2467.42,8495.36117052919,12148.9088869044,183.241499532744,616.339127065771,-0.0158977934030968,-0.00498156140741202,-0.00848490007361313,-0.0186377128322999,-0.0089345086977346
